air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,type,motor_hp,air_flow_pressure,current_by_airflow,temp_diff,current_by_vibration,airflow_per_rotation,efficiency,volumetric_efficiency,fan_laws_6,performance_index,air_to_motor_ratio,air_to_power_ratio,mechanical_efficiency,air_density,air_mass_flow,air_inflow_efficiency1,air_inflow_efficiency2,motor_current_efficiency,label,treshold
2.51,53.28,0.7,32.54,2662.0,69.58,3.48,0,30,1.7569999999999997,12.964143426294822,16.299999999999997,113.2392,0.00094290007513148,0.015515828441034551,0.2709482974515747,0.7349699644477137,0.0007760144146996298,0.00094290007513148,0.02216546920147793,41.30313531003397,0.2709482974515747,0.6800802266034525,0.013551308926868066,10.365972518196203,3.5126125892726066,0,0.9999765157699585
2.66,55.24,0.7,34.45,2819.0,71.32,3.57,0,30,1.8619999999999999,12.951127819548873,16.07999999999999,122.9865,0.0009435970202199362,0.015139873075500155,0.2643128908179093,0.734291981476968,0.000757842777335047,0.0009435970202199362,0.021628390107857366,42.679302199834936,0.2643128908179093,0.7030722895756388,0.013230468595344031,10.447252372626002,3.423150033337209,0,0.9999816417694092
1.72,42.74,0.7,22.23,1819.0,60.21,3.01,0,30,1.204,12.924418604651164,17.47,66.9123,0.0009455744914788345,0.01799370220422852,0.3141443493285165,0.7387312345600809,0.0008995356856789212,0.0009455744914788345,0.025705288863183597,32.73054430949168,0.3141443493285165,0.5403282808450484,0.015704608727434555,9.490592450233708,4.0601330730075125,0,0.9999932646751404
2.2,49.15,0.7,28.5,2332.0,65.91,3.3,0,30,1.54,12.954545454545453,16.759999999999998,94.05,0.0009433962264150945,0.016374269005847954,0.28587764436821045,0.7364178177867452,0.0008198314022044948,0.0009433962264150945,0.023391812865497078,38.18479532163743,0.28587764436821045,0.6289308176100631,0.014313400491808443,10.1148030142113,3.7034149384063624,0,0.9999969601631165
2.06,47.28,0.7,26.67,2182.0,64.24,3.21,0,30,1.442,12.946601941747574,16.959999999999994,85.61070000000001,0.0009440879926672777,0.016843688931406937,0.2941084089306161,0.7370675658798551,0.0008416600477866792,0.0009440879926672777,0.024062412759152767,36.752929248329934,0.2941084089306161,0.6058633223970692,0.014696263895816903,9.989796828869931,3.807704498145404,0,0.9999892115592957
1.66,41.95,0.7,21.46,1756.0,59.51,2.98,0,30,1.162,12.927710843373495,17.559999999999995,63.9508,0.0009453302961275626,0.018170218355360684,0.3172249315864304,0.7390284172090807,0.0009098849050407467,0.0009453302961275626,0.025957454793372404,31.906903432013355,0.3172249315864304,0.5265933864334744,0.01588523434931209,9.360560911876522,4.100992187858312,0,0.9999954700469971
1.49,39.76,0.7,19.32,1581.0,57.57,2.88,0,30,1.043,12.966442953020135,17.810000000000002,55.6416,0.0009424414927261227,0.018744967793880837,0.3272366294187926,0.7398612354521038,0.000937736794274393,0.0009424414927261227,0.02677852541982977,29.635794082125603,0.3272366294187926,0.487582577834001,0.01637035769890781,8.986644278462935,4.243095087497364,0,0.9999889135360718
2.2,49.08,0.7,28.43,2326.0,65.84,3.29,0,30,1.54,12.922727272727272,16.760000000000005,93.5347,0.000945829750644884,0.016464477888954582,0.2874862463966213,0.7364257327372082,0.0008227237584243708,0.000945829750644884,0.023520682698506545,38.29637556970835,0.2874862463966213,0.6324697420725669,0.014365579444788638,10.156333674339932,3.71510635684361,0,0.9999884366989136
3.02,59.99,0.7,39.1,3199.0,75.54,3.78,0,30,2.114,12.947019867549669,15.550000000000004,147.798,0.0009440450140668959,0.014303305863408165,0.24974735821875554,0.7326886693294093,0.0007157333355001702,0.0009440450140668959,0.020433294090583094,45.75627545704272,0.24974735821875554,0.7542370218206418,0.012497286392201427,10.576407187474173,3.2334840087262724,0,0.999995231628418
2.51,53.18,0.7,32.44,2654.0,69.49,3.47,0,30,1.7569999999999997,12.924302788844622,16.309999999999995,112.5668,0.0009457422758100979,0.015608509791519344,0.27254820628533083,0.7350021460543258,0.0007794147212055279,0.0009457422758100979,0.02229787113074192,41.424984986692344,0.27254820628533083,0.6840959977761804,0.013609760768601207,10.409309821287493,3.5224955425881004,0,0.9999785423278809
